pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-01,790.6859570013015
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-02,792.9505688037235
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-03,798.8743393236624
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-04,799.2206561241529
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-05,794.1365854330794
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-06,789.6519374376527
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-07,787.8231348440396
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-08,788.7280010736162
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-09,791.4235175190668
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-10,797.5893603733854
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-11,798.0954565127054
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-12,792.8859867414355
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-13,789.3323169062672
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-14,787.5357944460602
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-15,788.6361873505949
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-16,791.1218633895743
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-17,797.8960605962162
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-18,797.985144746335
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-19,792.3585906561296
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-20,788.7051620625837
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-21,786.779852493515
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-22,787.4763456514605
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-23,790.6620695871754
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-24,798.8892922629873
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-25,797.6237999149547
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-26,791.6311850315884
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-27,787.5730193090913
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-28,785.7033306981477
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-29,786.4614942591808
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-30,789.4493780125613
Lexington,Fort Wayne,360.0,Dry Van,32000.0,2025-12-31,797.6962367267189
