feature,native_importance,permutation_importance,permutation_std,native_rank,permutation_rank
log_distance,30.748635707723817,0.23298618280974934,0.0024875040103851795,1,1
distance,30.65096276681741,0.21304974696985018,0.0023507745371709183,2,3
haversine_miles,30.40020832717986,0.21462262504393084,0.0022733740929774733,3,2
equipment_Dry Van,2.0606544495323833,0.022364899590249284,0.00023274573799027308,4,4
weight_per_mile,1.2306947016317953,0.0030807953345394837,0.00010458991991352458,5,7
weight,0.8702438323985066,0.010589236732983152,0.00020447686199919244,6,5
market_index,0.6799470206024272,0.000583544165193807,3.3638686995049145e-05,7,15
doy_cos,0.5803032956762223,-0.0003367476810210185,1.4576480738562752e-05,8,156
equipment_Reefer,0.5145929700284579,0.004306282335138535,9.432079154853037e-05,9,6
lon_delta,0.39758874739550887,0.001967726583117417,6.981111573156944e-05,10,9
pickup_lat,0.2744030721594827,0.0020203506720365234,5.2568594463077216e-05,11,8
delivery_lat,0.260853683939479,0.00176303744693148,8.075942441811603e-05,12,10
quote_signal,0.2590856964625606,0.0006279299814292233,6.562226341085667e-05,13,14
delivery_lon,0.19620625484726145,0.0013981329740026679,7.417529692379278e-05,14,11
pickup_lon,0.18198579825918365,0.0008793976084520094,2.1323784996642093e-05,15,13
doy_sin,0.08661635419724648,0.0,0.0,16,93
bearing_cos,0.07381356295626507,0.0003303355957409576,2.2669035042466605e-05,17,16
bearing_sin,0.056277758877746546,0.0009653921568176474,1.734419696003977e-05,18,12
lat_delta,0.04112917759343337,0.00013519684612336573,3.097626963684354e-05,19,17
dow_sin,0.039260168380471694,3.293285221846742e-05,8.267393384747061e-06,20,19
pickup_Dallas,0.03591173681212749,-5.302735202286635e-06,1.0114021655998021e-05,21,147
dow_cos,0.024522870423281856,6.003192544379865e-05,2.1818739453120025e-06,22,18
delivery_Grand Rapids,0.016407711977012858,5.045843443765574e-06,8.237430775852182e-06,23,29
pickup_Tucson,0.015390423251726236,-8.875190033980074e-06,2.6134325160742785e-06,24,150
pickup_Madison,0.015156211426482227,1.6793523126647225e-05,7.2967971237294716e-06,25,20
delivery_Baltimore,0.014569826142366335,-2.780705017080276e-08,2.7174373648507824e-06,26,116
delivery_Baton Rouge,0.011662949967107747,5.418134443031797e-06,5.60281292420283e-06,27,27
delivery_St. Louis,0.011416074931266685,1.3197531879838298e-08,1.8675341444718078e-06,28,71
delivery_Richmond,0.010348769969788545,6.373975648542307e-06,1.218650486880054e-05,29,25
delivery_Houston,0.01011659253110885,1.1021209112691e-05,6.6817744254845494e-06,30,22
pickup_Los Angeles,0.009361284985131777,1.2963337177776535e-06,4.751015405475335e-06,31,49
pickup_Oklahoma City,0.00870424778580864,-2.5752377289148254e-05,8.609605483469586e-06,32,155
pickup_Buffalo,0.007887494792996677,-8.567841431099399e-06,5.503386902911811e-06,33,149
pickup_Las Vegas,0.006940568562656463,2.633410915026113e-06,2.086103439011206e-06,34,39
delivery_Shreveport,0.006890074493312515,1.5623627032419764e-05,1.116630767809856e-05,35,21
delivery_Mobile,0.00652604069275539,-1.0144262767632084e-05,1.65799752524997e-06,36,151
pickup_Atlanta,0.006509794409287069,8.332489979889779e-07,2.680772915616157e-06,37,57
delivery_Cincinnati,0.006066789046905019,-1.530516161666051e-05,5.73943287419404e-06,38,154
delivery_Phoenix,0.00584635138125056,-1.2188660343974423e-05,5.150569086430897e-06,39,153
pickup_Detroit,0.0055531941948647285,1.491789397801979e-06,1.1941104689818728e-06,40,47
market_index_is_missing,0.005426018738729398,-1.6578625209845433e-06,4.289579376189162e-06,41,133
delivery_Detroit,0.005392366327252493,5.774962063154199e-06,4.84723642442398e-06,42,26
pickup_Hartford,0.0053892060455086556,3.995385310086308e-06,4.964705427691849e-07,43,31
pickup_Syracuse,0.00506244330475991,7.618725305352791e-06,2.739018873674356e-06,44,24
delivery_Memphis,0.004417947751406423,-2.7780499611343434e-06,1.4668493697142234e-06,45,139
pickup_Tulsa,0.004309151736228915,1.763138494667582e-06,4.0027574938631044e-06,46,44
pickup_El Paso,0.004256085961643014,-1.3544975057400154e-07,1.628266550927922e-06,47,118
delivery_Fort Wayne,0.004252656502364565,1.2445347540898655e-06,1.0861993035448217e-06,48,50
delivery_Albuquerque,0.004231173240691182,-6.854295457260628e-06,1.8230432181264921e-06,49,148
weight_is_missing,0.004226251952642109,1.8512862621430926e-06,1.672678728486252e-06,50,43
pickup_Washington,0.004174096128208359,1.0520704975952588e-07,2.420521667196082e-06,51,70
pickup_Louisville,0.004034902747950349,-1.0583956229516522e-05,4.992831592743244e-06,52,152
delivery_Jacksonville,0.004013394242757891,6.739157309823552e-07,6.138650677575512e-06,53,59
delivery_Toledo,0.0038301112229492786,-5.273625842235064e-06,1.6355570466255083e-06,54,146
pickup_Columbia,0.003756363039234182,-4.576342384117471e-06,4.106266660625916e-06,55,144
delivery_Lubbock,0.0036959911863713004,3.7183148533029287e-06,8.064250610303584e-07,56,32
delivery_Los Angeles,0.0035259876177305832,1.5186322856741707e-06,7.87268940194901e-07,57,46
pickup_Grand Rapids,0.003402786667736339,-3.686447097944745e-07,1.95354315010477e-06,58,123
delivery_Lexington,0.003390081675985497,3.4649221856711266e-06,2.1669094296810485e-06,59,34
delivery_Syracuse,0.0033643083055960687,-5.276605012830005e-07,1.6074253084221116e-06,60,127
pickup_Indianapolis,0.0031112394606384987,1.1784416196314318e-06,1.3370006534891812e-06,61,51
pickup_Salt Lake City,0.0031099846610552558,2.26617647136329e-06,5.28926131813514e-07,62,40
pickup_Raleigh,0.002673451139800105,1.054758634243258e-06,2.199347399820201e-06,63,54
delivery_Harrisburg,0.0026696943043485453,-2.64598576042302e-06,2.311640605243653e-06,64,138
pickup_Kansas City,0.0026296072448236288,6.323856908269088e-07,5.161759216616634e-07,65,61
delivery_Greensboro,0.002528212628687496,9.546611926466997e-07,1.872626037202406e-06,66,55
pickup_Milwaukee,0.002510293183623698,1.069160724948004e-06,2.363047765360686e-06,67,53
pickup_Cincinnati,0.002413431948372948,5.990487136314782e-07,1.638534212170669e-06,68,62
is_weekend,0.002299869461143878,-2.1495855202849357e-06,3.431666361270239e-06,69,135
pickup_Richmond,0.0021805425757375017,-3.2962750701193144e-07,3.442095066827931e-07,70,121
pickup_Chattanooga,0.001991639825083056,-1.6644702635626452e-07,1.0930618365455091e-06,71,119
delivery_Little Rock,0.0019292552049318865,9.421403519421778e-07,6.734783939784302e-07,72,56
delivery_Boston,0.0019275467561802287,-2.570541102096813e-06,1.716086977454032e-06,73,137
equipment_Flatbed,0.0019061854364133281,-3.2585806259838312e-06,9.255316423178482e-07,74,141
pickup_Montgomery,0.0018986328189982376,7.392003518819079e-07,1.7109638689042098e-06,75,58
delivery_Raleigh,0.001866242233728103,-4.9790717289888155e-06,1.292643524872639e-06,76,145
pickup_New Orleans,0.001860071459728008,4.180863546159041e-06,1.2867345508506727e-06,77,30
pickup_San Francisco,0.0017845958577976783,1.879954610027601e-06,3.112236276508702e-06,78,42
pickup_Baton Rouge,0.0017250358064147462,2.3635915908232218e-07,4.724725364518237e-07,79,69
pickup_St. Louis,0.0017227892520604944,3.501207077885593e-07,2.5357981390795143e-07,80,66
delivery_Buffalo,0.0016552888420574593,-7.521854497122282e-07,8.685002500441662e-07,81,128
pickup_Lubbock,0.0015818492602763462,3.0086588662742165e-06,6.44556959626876e-07,82,36
pickup_Little Rock,0.0015299260331399702,2.1370506853121697e-06,1.3957461811690576e-06,83,41
pickup_Memphis,0.0015043728662126798,-4.372728409759996e-06,3.818310642163737e-07,84,143
delivery_Oklahoma City,0.001494593219754793,1.1013858400552023e-05,4.902295847203368e-06,85,23
pickup_Phoenix,0.0014704322562355784,5.1696107786186605e-06,2.6468519649323527e-06,86,28
pickup_Savannah,0.0014532190245713302,-1.1718686771106102e-06,1.6096683404149635e-06,87,129
delivery_Milwaukee,0.0011907924484225178,2.997946731586598e-06,1.1539512936506428e-06,88,37
delivery_Bakersfield,0.0011353859939465347,1.645973915113952e-06,8.552683197379234e-07,89,45
delivery_Indianapolis,0.0011292079623131798,5.317413311375919e-07,4.5186499825097676e-07,90,65
delivery_Chattanooga,0.0011050039175313948,6.60259399554164e-07,1.0044769883015383e-06,91,60
delivery_Dayton,0.0010936580217259391,2.3662672299640254e-07,1.1759877882503692e-06,92,68
delivery_Dallas,0.0010861290998309349,-1.3400111081002253e-06,1.668573704279614e-06,93,130
pickup_Green Bay,0.0010585142238303095,3.37085859527797e-06,4.464309246564935e-07,94,35
pickup_Nashville,0.0010212885503985728,-2.827536591182289e-06,1.5533816701674737e-06,95,140
delivery_Birmingham,0.0010011301175700824,-1.8530758068568965e-07,5.251567436558868e-07,96,120
delivery_Salt Lake City,0.0009972890326744404,3.644935563446028e-06,2.866655369283097e-07,97,33
